year,case,,,,,
,,,9.74307E-18,,,
,,,7.79446E-18,,,
,,,6.23557E-18,,,
,,,4.98845E-18,,,
,,,3.99076E-18,,,
,,,3.19261E-18,,,
,,,2.55409E-18,,,
,,,2.04327E-18,,,
,,,1.63462E-18,,,
,,,1.30769E-18,,,
,,,1.04615E-18,,,
,,,8.36924E-19,,,
,,,6.69539E-19,,,
,,,5.35631E-19,,,
,,,4.28505E-19,,,
,,,3.42804E-19,,,
,,,2.74243E-19,,,
,,,2.19395E-19,,,
,,,1.75516E-19,,,
,,,1.40412E-19,,,
,,,1.1233E-19,,,
,,,8.9864E-20,,,
,,,7.18912E-20,,,
,,,5.7513E-20,,,
,,,4.60104E-20,,,
,,,3.68083E-20,,,
,,,2.94466E-20,,,
,,,2.35573E-20,,,
,,,1.88458E-20,,,
,,,1.50767E-20,,,
,,,1.20613E-20,,,
,,,9.64907E-21,,,
,,,7.71926E-21,,,
,,,6.17541E-21,,,
,,,4.94033E-21,,,
,,,3.95226E-21,,,
,,,3.16181E-21,,,
,,,2.52945E-21,,,
,,,2.02356E-21,,,
,,,1.61885E-21,,,
,,,1.29508E-21,,,
,,,1.03606E-21,,,
,,,8.28849E-22,,,
,,,6.63079E-22,,,
,,,5.30463E-22,,,
,,,4.24371E-22,,,
,,,3.39497E-22,,,
,,,2.71597E-22,,,
,,,2.17278E-22,,,
,,,1.73822E-22,,,
,,,1.39058E-22,,,
,,,1.11246E-22,,,
,,,8.8997E-23,,,
,,,7.11976E-23,,,
,,,5.69581E-23,,,
,,,4.55665E-23,,,
,,,3.64532E-23,,,
,,,2.91625E-23,,,
,,,2.333E-23,,,
,,,1.8664E-23,,,
,,,1.49312E-23,,,
,,,1.1945E-23,,,
,,,9.55598E-24,,,
,,,7.64478E-24,,,
,,,6.11583E-24,,,
,,,4.89266E-24,,,
,,,3.91413E-24,,,
,,,3.1313E-24,,,
,,,2.50504E-24,,,
,,,2.00403E-24,,,
,,,1.60323E-24,,,
,,,1.28258E-24,,,
,,,1.02607E-24,,,
,,,8.20852E-25,,,
,,,6.56682E-25,,,
,,,5.25345E-25,,,
,,,4.20276E-25,,,
,,,3.36221E-25,,,
,,,2.68977E-25,,,
,,,2.15182E-25,,,
,,,1.72145E-25,,,
,,,1.37716E-25,,,
,,,1.10173E-25,,,
,,,8.81383E-26,,,
,,,7.05107E-26,,,
,,,5.64085E-26,,,
,,,4.51268E-26,,,
,,,3.61015E-26,,,
,,,2.88812E-26,,,
,,,2.31049E-26,,,
,,,1.8484E-26,,,
,,,1.47872E-26,,,
,,,1.18297E-26,,,
,,,9.46378E-27,,,
,,,7.57103E-27,,,
,,,6.05682E-27,,,
,,,4.84546E-27,,,
,,,3.87637E-27,,,
,,,3.10109E-27,,,
,,,2.48087E-27,,,
,,,1.9847E-27,,,
,,,1.58776E-27,,,
,,,1.27021E-27,,,
,,,1.01617E-27,,,
,,,8.12933E-28,,,
,,,6.50346E-28,,,
,,,5.20277E-28,,,
,,,4.16222E-28,,,
,,,3.32977E-28,,,
,,,2.66382E-28,,,
,,,2.13105E-28,,,
,,,1.70484E-28,,,
,,,1.36387E-28,,,
,,,1.0911E-28,,,
,,,8.7288E-29,,,
,,,6.98304E-29,,,
,,,5.58643E-29,,,
,,,4.46914E-29,,,
,,,3.57532E-29,,,
,,,2.86025E-29,,,
,,,2.2882E-29,,,
,,,1.83056E-29,,,
,,,1.46445E-29,,,
,,,1.17156E-29,,,
,,,9.37248E-30,,,
,,,7.49798E-30,,,
,,,5.99838E-30,,,
,,,4.79871E-30,,,
,,,3.83897E-30,,,
,,,3.07117E-30,,,
,,,2.45694E-30,,,
,,,1.96555E-30,,,
,,,1.57244E-30,,,
,,,1.25795E-30,,,
,,,1.00636E-30,,,
,,,8.0509E-31,,,
,,,6.44072E-31,,,
,,,5.15257E-31,,,
,,,4.12206E-31,,,
,,,3.29765E-31,,,
,,,2.63812E-31,,,
,,,2.11049E-31,,,
,,,1.6884E-31,,,
,,,1.35072E-31,,,
,,,1.08057E-31,,,
,,,8.64458E-32,,,
,,,6.91567E-32,,,
,,,5.53253E-32,,,
,,,4.42603E-32,,,
,,,3.54082E-32,,,
,,,2.83266E-32,,,
,,,2.26613E-32,,,
,,,1.8129E-32,,,
,,,1.45032E-32,,,
,,,1.16026E-32,,,
,,,9.28205E-33,,,
,,,7.42564E-33,,,
,,,5.94051E-33,,,
,,,4.75241E-33,,,
,,,3.80193E-33,,,
,,,3.04154E-33,,,
,,,2.43323E-33,,,
,,,1.94659E-33,,,
,,,1.55727E-33,,,
,,,1.24582E-33,,,
,,,9.96653E-34,,,
,,,7.97322E-34,,,
,,,6.37858E-34,,,
,,,5.10286E-34,,,
,,,4.08229E-34,,,
,,,3.26583E-34,,,
,,,2.61267E-34,,,
,,,2.09013E-34,,,
,,,1.67211E-34,,,
,,,1.33768E-34,,,
,,,1.07015E-34,,,
,,,8.56118E-35,,,
,,,6.84894E-35,,,
,,,5.47916E-35,,,
,,,4.38332E-35,,,
,,,3.50666E-35,,,
,,,2.80533E-35,,,
,,,2.24426E-35,,,
,,,1.79541E-35,,,
,,,1.43633E-35,,,
,,,1.14906E-35,,,
,,,9.1925E-36,,,
,,,7.354E-36,,,
,,,5.8832E-36,,,
,,,4.70656E-36,,,
,,,3.76525E-36,,,
,,,3.0122E-36,,,
,,,2.40976E-36,,,
,,,1.92781E-36,,,
,,,1.54225E-36,,,
,,,1.2338E-36,,,
,,,9.87037E-37,,,
,,,7.8963E-37,,,
,,,6.31704E-37,,,
,,,5.05363E-37,,,
,,,4.0429E-37,,,
,,,3.23432E-37,,,
,,,2.58746E-37,,,
,,,2.06997E-37,,,
,,,1.65597E-37,,,
,,,1.32478E-37,,,
,,,1.05982E-37,,,
,,,8.47858E-38,,,
,,,6.78287E-38,,,
,,,5.42629E-38,,,
,,,4.34103E-38,,,
,,,3.47283E-38,,,
,,,2.77826E-38,,,
,,,2.22261E-38,,,
,,,1.77809E-38,,,
,,,1.42247E-38,,,
,,,1.13798E-38,,,
,,,9.10381E-39,,,
,,,7.28305E-39,,,
,,,5.82644E-39,,,
,,,4.66115E-39,,,
,,,3.72892E-39,,,
,,,2.98314E-39,,,
,,,2.38651E-39,,,
,,,1.90921E-39,,,
,,,1.52737E-39,,,
,,,1.22189E-39,,,
,,,9.77514E-40,,,
,,,7.82011E-40,,,
,,,6.25609E-40,,,
,,,5.00487E-40,,,
,,,4.0039E-40,,,
,,,3.20312E-40,,,
,,,2.56249E-40,,,
,,,2.05E-40,,,
,,,1.64E-40,,,
,,,1.312E-40,,,
,,,1.0496E-40,,,
,,,8.39678E-41,,,
,,,6.71743E-41,,,
,,,5.37394E-41,,,
,,,4.29915E-41,,,
,,,3.43932E-41,,,
,,,2.75146E-41,,,
,,,2.20117E-41,,,
,,,1.76093E-41,,,
,,,1.40875E-41,,,
,,,1.127E-41,,,
,,,9.01598E-42,,,
,,,7.21278E-42,,,
,,,5.77022E-42,,,
,,,4.61618E-42,,,
,,,3.69294E-42,,,
,,,2.95435E-42,,,
,,,2.36348E-42,,,
,,,1.89079E-42,,,
,,,1.51263E-42,,,
,,,1.2101E-42,,,
,,,9.68083E-43,,,
,,,7.74466E-43,,,
,,,6.19573E-43,,,
,,,4.95659E-43,,,
,,,3.96527E-43,,,
,,,3.17221E-43,,,
,,,2.53777E-43,,,
,,,2.03022E-43,,,
,,,1.62417E-43,,,
,,,1.29934E-43,,,
,,,1.03947E-43,,,
,,,8.31577E-44,,,
,,,6.65262E-44,,,
,,,5.32209E-44,,,
,,,4.25767E-44,,,
,,,3.40614E-44,,,
,,,2.72491E-44,,,
,,,2.17993E-44,,,
,,,1.74394E-44,,,
,,,1.39515E-44,,,
,,,1.11612E-44,,,
,,,8.92899E-45,,,
,,,7.14319E-45,,,
,,,5.71455E-45,,,
,,,4.57164E-45,,,
,,,3.65731E-45,,,
,,,2.92585E-45,,,
,,,2.34068E-45,,,
,,,1.87254E-45,,,
,,,1.49804E-45,,,
,,,1.19843E-45,,,
,,,9.58743E-46,,,
,,,7.66994E-46,,,
,,,6.13596E-46,,,
,,,4.90876E-46,,,
,,,3.92701E-46,,,
,,,3.14161E-46,,,
,,,2.51329E-46,,,
,,,2.01063E-46,,,
,,,1.6085E-46,,,
,,,1.2868E-46,,,
,,,1.02944E-46,,,
,,,8.23554E-47,,,
,,,6.58843E-47,,,
,,,5.27075E-47,,,
,,,4.2166E-47,,,
,,,3.37328E-47,,,
,,,2.69862E-47,,,
,,,2.1589E-47,,,
,,,1.72712E-47,,,
,,,1.38169E-47,,,
,,,1.10536E-47,,,
,,,8.84284E-48,,,
,,,7.07427E-48,,,
,,,5.65942E-48,,,
,,,4.52754E-48,,,
,,,3.62203E-48,,,
,,,2.89762E-48,,,
,,,2.3181E-48,,,
,,,1.85448E-48,,,
,,,1.48358E-48,,,
,,,1.18687E-48,,,
,,,9.49493E-49,,,
,,,7.59594E-49,,,
,,,6.07676E-49,,,
,,,4.8614E-49,,,
,,,3.88912E-49,,,
,,,3.1113E-49,,,
,,,2.48904E-49,,,
,,,1.99123E-49,,,
,,,1.59299E-49,,,
,,,1.27439E-49,,,
,,,1.01951E-49,,,
,,,8.15608E-50,,,
,,,6.52487E-50,,,
,,,5.21989E-50,,,
,,,4.17591E-50,,,
,,,3.34073E-50,,,
,,,2.67259E-50,,,
,,,2.13807E-50,,,
,,,1.71045E-50,,,
,,,1.36836E-50,,,
,,,1.09469E-50,,,
,,,8.75753E-51,,,
,,,7.00602E-51,,,
,,,5.60482E-51,,,
,,,4.48385E-51,,,
,,,3.58708E-51,,,
,,,2.86967E-51,,,
,,,2.29573E-51,,,
,,,1.83659E-51,,,
,,,1.46927E-51,,,
,,,1.17542E-51,,,
,,,9.40332E-52,,,
,,,7.52266E-52,,,
,,,6.01813E-52,,,
,,,4.8145E-52,,,
,,,3.8516E-52,,,
,,,3.08128E-52,,,
,,,2.46502E-52,,,
,,,1.97202E-52,,,
,,,1.57762E-52,,,
,,,1.26209E-52,,,
,,,1.00967E-52,,,
,,,8.07739E-53,,,
,,,6.46192E-53,,,
,,,5.16953E-53,,,
,,,4.13563E-53,,,
,,,3.3085E-53,,,
,,,2.6468E-53,,,
,,,2.11744E-53,,,
,,,1.69395E-53,,,
,,,1.35516E-53,,,
,,,1.08413E-53,,,
,,,8.67304E-54,,,
